part_id,descr,part_type,min_year,max_year,url,img_url
50231px2,"Minifig Cape Cloth, Standard with Black Back and Stripes Print",accessory,2002,2002,https://rebrickable.com/parts/50231px2/minifig-cape-cloth+-standard-with-black-back-and-stripes-print,https://img.rebrickable.com/img/pieces/elements/4549636.jpg
92747pr0006,OVAL SHIELD DEC NO 6,accessory,2015,2015,https://rebrickable.com/parts/92747pr0006/oval-shield-dec-no-6,https://img.rebrickable.com/img/pieces/elements/6124649.jpg
95330pr0002,Minifig Axe with Red Head and Silver Blade,accessory,2014,2014,https://rebrickable.com/parts/95330pr0002/minifig-axe-with-red-head-and-silver-blade,https://img.rebrickable.com/img/pieces/elements/6064791.jpg
96482,Friends Accessories Comb with Handle and 3 Hearts,accessory,2012,2015,https://rebrickable.com/parts/96482/friends-accessories-comb-with-handle-and-3-hearts,https://img.rebrickable.com/img/pieces/85/96482.png
22409,MINI SHIELD NO.3,accessory,2016,2016,https://rebrickable.com/parts/22409/mini-shield-no.3,https://img.rebrickable.com/img/pieces/elements/6135542.jpg
21566pr0004,MINI FIGURE HELMET NO. 84,accessory,2016,2016,https://rebrickable.com/parts/21566pr0004/mini-figure-helmet-no.-84,https://img.rebrickable.com/img/pieces/elements/6153587.jpg
13194pr0001,"Minifig Headdress SW Tholoth with Dark Tan, Blue and Brown Print",accessory,2013,2013,https://rebrickable.com/parts/13194pr0001/minifig-headdress-sw-tholoth-with-dark-tan+-blue-and-brown-print,https://img.rebrickable.com/img/pieces/elements/6032863.jpg
2528pr0008,"Minifig Hat, Pirate Bicorne with Skull with X Eyes and Crossbones Print",accessory,2015,2015,https://rebrickable.com/parts/2528pr0008/minifig-hat+-pirate-bicorne-with-skull-with-x-eyes-and-crossbones-print,https://img.rebrickable.com/img/pieces/elements/6122966.jpg
85974pr0004,Minifig Hair Female Mid-Length with Part over Right Shoulder and Magenta Highlights Print,accessory,2014,2014,https://rebrickable.com/parts/85974pr0004/minifig-hair-female-mid-length-with-part-over-right-shoulder-and-magenta-highlights-print,https://img.rebrickable.com/img/pieces/elements/6083540.jpg
6126b,Wave / Flame Rounded with Base Rim,accessory,2008,2016,https://rebrickable.com/parts/6126b/wave-flame-rounded-with-base-rim,https://img.rebrickable.com/img/pieces/elements/4261397.jpg
18822,Minifig Turban without Hole,accessory,2015,2016,https://rebrickable.com/parts/18822/minifig-turban-without-hole,https://img.rebrickable.com/img/pieces/elements/6093809.jpg
24087,MINI CLOTHING NO. 1,accessory,2016,2016,https://rebrickable.com/parts/24087/mini-clothing-no.-1,https://img.rebrickable.com/img/pieces/elements/6138129.jpg
2528pb06,"Minifig Hat, Pirate Bicorne with Gold Skull, Crossbones and Dots Print",accessory,2012,2012,https://rebrickable.com/parts/2528pb06/minifig-hat+-pirate-bicorne-with-gold-skull+-crossbones-and-dots-print,https://img.rebrickable.com/img/pieces/elements/4539951.jpg
26112,Minifig Cape Cloth Pointed Collar with 2 Dark Purple and 4 Black Points (Maleficent) [Top with 2 Holes],accessory,2016,2016,https://rebrickable.com/parts/26112/minifig-cape-cloth-pointed-collar-with-2-dark-purple-and-4-black-points-maleficent-%5Btop-with-2-holes,https://img.rebrickable.com/img/pieces/elements/6145526.jpg
18920,Minifig Scissors,accessory,2015,2016,https://rebrickable.com/parts/18920/minifig-scissors,https://img.rebrickable.com/img/pieces/elements/6096993.jpg
2446pr0013,MINI CRASH HELMET NO 13,accessory,2016,2016,https://rebrickable.com/parts/2446pr0013/mini-crash-helmet-no-13,https://img.rebrickable.com/img/pieces/elements/6153889.jpg
19185,Minifig Cape - Cloth - Scalloped 5 Points [Unstarched],accessory,2015,2016,https://rebrickable.com/parts/19185/minifig-cape-cloth-scalloped-5-points-%5Bunstarched%5D,https://img.rebrickable.com/img/pieces/elements/6097079.jpg
54177,Minifig Weapon - Spiked Ball Half with 2 Axle Holes,accessory,2006,2011,https://rebrickable.com/parts/54177/minifig-weapon-spiked-ball-half-with-2-axle-holes,https://img.rebrickable.com/img/pieces/elements/4494488.jpg
12551pr0004,Minifig Mask Chima Crocodile with Gold Teeth and Black Diamonds Print,accessory,2013,2015,https://rebrickable.com/parts/12551pr0004/minifig-mask-chima-crocodile-with-gold-teeth-and-black-diamonds-print,https://img.rebrickable.com/img/pieces/elements/6022279.jpg
17356pr0001,Minifig Guitar Electric Type &#039;ML&#039;,accessory,2014,2014,https://rebrickable.com/parts/17356pr0001/minifig-guitar-electric-type-ml,https://img.rebrickable.com/img/pieces/elements/6081660.jpg
11260pr0003,MINI MECH ARMOR NO.3,accessory,2016,2016,https://rebrickable.com/parts/11260pr0003/mini-mech-armor-no.3,https://img.rebrickable.com/img/pieces/elements/6139274.jpg
2545pr0001,Minifig Hat Imperial Guard Shako with Red Plume and Gold Badge Print,accessory,2009,2015,https://rebrickable.com/parts/2545pr0001/minifig-hat-imperial-guard-shako-with-red-plume-and-gold-badge-print,https://img.rebrickable.com/img/pieces/elements/6023420.jpg
21841,CAPE METALLIC,accessory,2015,2016,https://rebrickable.com/parts/21841/cape-metallic,https://img.rebrickable.com/img/pieces/elements/6119497.jpg
18587,Minifig Rapid Shooter Trigger,accessory,2015,2016,https://rebrickable.com/parts/18587/minifig-rapid-shooter-trigger,https://img.rebrickable.com/img/pieces/elements/6097090.jpg
87610pr0002a,"Minifig Helmet with Holes, SW Mandalorian with Blue and Dark Blue Print",accessory,2013,2013,https://rebrickable.com/parts/87610pr0002a/minifig-helmet-with-holes+-sw-mandalorian-with-blue-and-dark-blue-print,https://img.rebrickable.com/img/pieces/elements/6032942.jpg
98133pr0014,Minifig Ninjago Wrap with Gold Asian Character Print,accessory,2015,2015,https://rebrickable.com/parts/98133pr0014/minifig-ninjago-wrap-with-gold-asian-character-print,https://img.rebrickable.com/img/pieces/elements/6101997.jpg
26201,"CAPE, 3 H, 45X29MM",accessory,2016,2016,https://rebrickable.com/parts/26201/cape+-3-h+-45x29mm,https://img.rebrickable.com/img/pieces/elements/6146484.jpg
19114pr0001,Minifig Helmet SW Imperial Agent with Cheek and Neck Protection with Flat Silver and Red Triangles Print (Agent Kallus),accessory,2015,2016,https://rebrickable.com/parts/19114pr0001/minifig-helmet-sw-imperial-agent-with-cheek-and-neck-protection-with-flat-silver-and-red-triangles-p,https://img.rebrickable.com/img/pieces/elements/6101867.jpg
12895pr0001b,HAT NO. 3 NO. 1,accessory,2014,2015,https://rebrickable.com/parts/12895pr0001b/hat-no.-3-no.-1,https://img.rebrickable.com/img/pieces/elements/6081282.jpg
11599,Minifig Wings with Neck Bracket,accessory,2013,2016,https://rebrickable.com/parts/11599/minifig-wings-with-neck-bracket,https://img.rebrickable.com/img/pieces/elements/6021973.jpg
21845,SPECIAL MANTLE,accessory,2015,2016,https://rebrickable.com/parts/21845/special-mantle,https://img.rebrickable.com/img/pieces/elements/6125260.jpg
92738,Minifig Star Wars Blaster Small,accessory,2011,2016,https://rebrickable.com/parts/92738/minifig-star-wars-blaster-small,https://img.rebrickable.com/img/pieces/elements/4609050.jpg
2446pr0009,Minifig Standard Helmet with Red Eyed Skull Print,accessory,2012,2012,https://rebrickable.com/parts/2446pr0009/minifig-standard-helmet-with-red-eyed-skull-print,https://img.rebrickable.com/img/pieces/elements/4651317.jpg
13946pr0001,"Minifig Headdress Indian with Horns, Long Braided Hair, and Tribal Headband with Tassels Print",accessory,2013,2013,https://rebrickable.com/parts/13946pr0001/minifig-headdress-indian-with-horns+-long-braided-hair+-and-tribal-headband-with-tassels-print,https://img.rebrickable.com/img/pieces/elements/6039953.jpg
95678pr0002,Minifig Hood Fur-lined Short with Dark Brown Hood Print,accessory,2013,2013,https://rebrickable.com/parts/95678pr0002/minifig-hood-fur-lined-short-with-dark-brown-hood-print,https://img.rebrickable.com/img/pieces/elements/6135577.jpg
2446pr0010,Minifig Standard Helmet with Star and Stripes Print,accessory,2012,2012,https://rebrickable.com/parts/2446pr0010/minifig-standard-helmet-with-star-and-stripes-print,https://img.rebrickable.com/img/pieces/elements/4651325.jpg
30488c01,Sports Minifig Stand Soccer with Spring and Green Pin [Complete Assembly],accessory,2000,2008,https://rebrickable.com/parts/30488c01/sports-minifig-stand-soccer-with-spring-and-green-pin-%5Bcomplete-assembly%5D,https://img.rebrickable.com/img/pieces/elements/4142815.jpg
99242pr0001,Minifig Hair Layered with Silver Zigzag Streaks Print,accessory,2014,2014,https://rebrickable.com/parts/99242pr0001/minifig-hair-layered-with-silver-zigzag-streaks-print,https://img.rebrickable.com/img/pieces/elements/6086978.jpg
19857pat0002,Minifig Ninjago Wrap Type 2 with Red Wraps and Knot Pattern,accessory,2015,2016,https://rebrickable.com/parts/19857pat0002/minifig-ninjago-wrap-type-2-with-red-wraps-and-knot-pattern,https://img.rebrickable.com/img/pieces/elements/6113986.jpg
20612,Minifig Weapon Holder Ring (Ninjago),accessory,2015,2016,https://rebrickable.com/parts/20612/minifig-weapon-holder-ring-ninjago,https://img.rebrickable.com/img/pieces/elements/6109312.jpg
61190f,Minifig Gun Small DC-17 [SW Blaster],accessory,2008,2011,https://rebrickable.com/parts/61190f/minifig-gun-small-dc-17-%5Bsw-blaster%5D,https://img.rebrickable.com/img/pieces/72/61190a.png
24782pr0001,Minifig Skirt with 16 White Polka Dots [Minnie],accessory,2016,2016,https://rebrickable.com/parts/24782pr0001/minifig-skirt-with-16-white-polka-dots-%5Bminnie%5D,https://img.rebrickable.com/img/pieces/elements/6143292.jpg
2343,Minifig Goblet,accessory,1986,2016,https://rebrickable.com/parts/2343/minifig-goblet,https://img.rebrickable.com/img/pieces/elements/3000240.jpg
15727,ARMOUR NO. 7,accessory,2014,2014,https://rebrickable.com/parts/15727/armour-no.-7,https://img.rebrickable.com/img/pieces/elements/6072685.jpg
22566,Portal Gun,accessory,2015,2015,https://rebrickable.com/parts/22566/portal-gun,https://img.rebrickable.com/img/pieces/elements/6122397.jpg
93219pr0003,"Minifig Cap, Curved Bill with Seams and Button on Top and Black Beaver on White Print",accessory,2011,2011,https://rebrickable.com/parts/93219pr0003/minifig-cap+-curved-bill-with-seams-and-button-on-top-and-black-beaver-on-white-print,https://img.rebrickable.com/img/pieces/elements/4632730.jpg
fabed4,Fabuland Hammer,accessory,1983,1984,https://rebrickable.com/parts/fabed4/fabuland-hammer,https://img.rebrickable.com/img/ni.png
