part_id,descr,part_type,part_type_id,num_parts,num_sets,num_colors,min_year,max_year,url,img_url
x351,Brick Special 2 x 2 Racer Driver No Head,Minifigs,6,20,27,7,2002,2003,https://rebrickable.com/parts/x351/brick-special-2-x-2-racer-driver-no-head,https://img.rebrickable.com/img/ni.png
3626cpr1150,Minifig Head Alien with Silver Eyes with Red Dots and Dark Red Headband Print [Hollow Stud],Minifigs,6,8,9,1,2013,2014,https://rebrickable.com/parts/3626cpr1150/minifig-head-alien-with-silver-eyes-with-red-dots-and-dark-red-headband-print-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6022943.jpg
970c00pr0549,Legs and Dark Tan Hips with Steer Head Belt and Chaps Print,Minifigs,6,2,2,1,2013,2013,https://rebrickable.com/parts/970c00pr0549/legs-and-dark-tan-hips-with-steer-head-belt-and-chaps-print,https://img.rebrickable.com/img/pieces/elements/6042825.jpg
15830,Minfigure Helmet - Nindroid Headpiece with Complex Targeting System Print ,Minifig Accessories,26,1,1,1,2013,2013,https://rebrickable.com/parts/15830/minfigure-helmet-nindroid-headpiece-with-complex-targeting-system-print-,https://img.rebrickable.com/img/pieces/elements/6055778.jpg
973pr1512c01,Torso Alien with Orange Skin and Black Open Vest with Alien Head Print / Orange Arms / Black Hands,Minifigs,6,2,2,1,2009,2009,https://rebrickable.com/parts/973pr1512c01/torso-alien-with-orange-skin-and-black-open-vest-with-alien-head-print-orange-arms-black-hands,https://img.rebrickable.com/img/pieces/elements/4552531.jpg
973pr2903c01,"Torso Leather Vest over Bare Chest, Tooth Necklace, Snake Heads Belt Buckle, Snake Head on Reverse Print / Yellow Arms / Black Hands",Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/973pr2903c01/torso-leather-vest-over-bare-chest+-tooth-necklace+-snake-heads-belt-buckle+-snake-head-on-reverse-p,https://img.rebrickable.com/img/pieces/elements/6102411.jpg
973pr2396c01,"Torso with Lace-up Shirt, Red Trim and Silver Dragon Head Chain Print / Black Arms / Red Hands",Minifigs,6,1,1,1,2013,2013,https://rebrickable.com/parts/973pr2396c01/torso-with-lace-up-shirt+-red-trim-and-silver-dragon-head-chain-print-black-arms-red-hands,https://img.rebrickable.com/img/pieces/elements/6039763.jpg
973px120c01,Torso Castle Knights Kingdom Bull&#039;s Head on Brown Shield Print / Dark Gray Arms / Red Hands,Minifigs,6,7,7,1,2000,2000,https://rebrickable.com/parts/973px120c01/torso-castle-knights-kingdom-bulls-head-on-brown-shield-print-dark-gray-arms-red-hands,https://img.rebrickable.com/img/ni.png
973pr1827c01,"Torso Armor with Gold Dragon Wings, Dwarf Head Buckle and Pouches Print / Dark Bluish Gray Arms / Yellow Hands",Minifigs,6,1,1,1,2011,2011,https://rebrickable.com/parts/973pr1827c01/torso-armor-with-gold-dragon-wings+-dwarf-head-buckle-and-pouches-print-dark-bluish-gray-arms-yellow,https://img.rebrickable.com/img/pieces/elements/4668450.jpg
973pr2239c01,"Torso Armor with Dark Bluish Gray Belts, Gold Raven Head and Blue Round Jewel (Chi) Print / Black Arms / Dark Purple Hands",Minifigs,6,2,2,1,2013,2013,https://rebrickable.com/parts/973pr2239c01/torso-armor-with-dark-bluish-gray-belts+-gold-raven-head-and-blue-round-jewel-chi-print-black-arms-d,https://img.rebrickable.com/img/pieces/elements/6022560.jpg
